startTime,endTime,spawningIntervalInMinutes,spawningAmount,gateName,source,destination
6:00,8:00,5,1,Crocodile Bridge Gate,POINT (31.893563 -25.358438),"MULTIPOINT (31.45122 -25.42001, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
8:00,12:00,45,1,Crocodile Bridge Gate,POINT (31.893563 -25.358438),"MULTIPOINT (31.45122 -25.42001, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
6:00,8:00,5,1,Kruger Gate,POINT (31.484812 -24.980938),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
8:00,12:00,45,1,Kruger Gate,POINT (31.484812 -24.980938),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
6:00,8:00,5,1,Malelane Gate,POINT (31.532321 -25.462187),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
8:00,12:00,45,1,Malelane Gate,POINT (31.532321 -25.462187),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
6:00,8:00,5,1,Numbi Gate,POINT (31.198188 -25.155313),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
8:00,12:00,45,1,Numbi Gate,POINT (31.198188 -25.155313),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
6:00,8:00,5,1,Phabeni Gate,POINT (31.240647 -25.02469),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
8:00,12:00,45,1,Phabeni Gate,POINT (31.240647 -25.02469),"MULTIPOINT (31.45122 -25.42001, 31.89204 -25.35891, 31.91594 -25.11983, 31.51095 -25.47712, 31.59263 -24.98984, 31.26872 -25.16923)"
