Name,Camp Type,Longitude (E),Latitude (S),geometry
Bateleur,Bushveld camp,31.2020222844022,-23.234253819742,POINT (31.2020222844022 -23.234253819742)
Berg-en-Dal,Rest camp,31.4450444529983,-25.4279371703829,POINT (31.4450444529983 -25.4279371703829)
Biyamiti,Bushveld camp,31.7112090141076,-25.3068840213328,POINT (31.7112090141076 -25.3068840213328)
Crocodile Bridge,Rest camp,31.8938518629925,-25.3581762165958,POINT (31.8938518629925 -25.3581762165958)
Letaba,Rest camp,31.5747324052934,-23.8540361373931,POINT (31.5747324052934 -23.8540361373931)
Lower Sabie,Rest camp,31.9162305043452,-25.1195391668361,POINT (31.9162305043452 -25.1195391668361)
Malelane,Rest camp,31.51160931328,-25.4765760847437,POINT (31.51160931328 -25.4765760847437)
Mopani,Rest camp,31.3973807494631,-23.5214275623756,POINT (31.3973807494631 -23.5214275623756)
Olifants,Rest camp,31.7409035991869,-24.005761759584,POINT (31.7409035991869 -24.005761759584)
Orpen,Rest camp,31.3909949899644,-24.4754902192608,POINT (31.3909949899644 -24.4754902192608)
Skukuza,Rest camp,31.5923473378428,-24.9962146099586,POINT (31.5923473378428 -24.9962146099586)
Talamati,Bushveld camp,31.55598672434,-24.5558584485646,POINT (31.55598672434 -24.5558584485646)
Shimuwini,Bushveld camp,31.2662673611147,-23.7144295266045,POINT (31.2662673611147 -23.7144295266045)
Shingwedzi,Rest camp,31.4360367954778,-23.108627681752,POINT (31.4360367954778 -23.108627681752)
Sirene,Bushveld camp,31.2218454224637,-22.9468237875895,POINT (31.2218454224637 -22.9468237875895)
Njalaland Trails,Trails camp,31.0857257497298,-22.5127258003838,POINT (31.0857257497298 -22.5127258003838)
Boesman Trails,Trails camp,31.36042,-25.41001,POINT (31.36042 -25.41001)
Metsimetsi Trails,Trails camp,31.91314,-24.74646,POINT (31.91314 -24.74646)
Wolhuter Trails,Trails camp,31.3928944365739,-25.3723245382216,POINT (31.3928944365739 -25.3723245382216)
Napi Trails,Trails camp,31.4387550325923,-25.1635231765025,POINT (31.4387550325923 -25.1635231765025)
Olifants Trails,Trails camp,31.80064,-23.99631,POINT (31.80064 -23.99631)
Sweni Trails,Trails camp,31.9253813595682,-24.4901625478147,POINT (31.9253813595682 -24.4901625478147)
Balule,Rest camp,31.7337931113379,-24.0533633583948,POINT (31.7337931113379 -24.0533633583948)
Maroela,Caravan site,31.3993497206454,-24.4558704243548,POINT (31.3993497206454 -24.4558704243548)
Tamboti,Tented camp,31.406308340249,-24.4537658391064,POINT (31.406308340249 -24.4537658391064)
Lonely Bull,Camping site,31.3920897518839,-23.7571568845815,POINT (31.3920897518839 -23.7571568845815)
Pretoriuskop,Rest camp,31.2686410747262,-25.1661614008105,POINT (31.2686410747262 -25.1661614008105)
Punda Maria,Rest camp,31.0172070120499,-22.6917216509272,POINT (31.0172070120499 -22.6917216509272)
Satara,Rest camp,31.7798621420941,-24.3931589509264,POINT (31.7798621420941 -24.3931589509264)
Tsendze,Camping site,31.444022260615,-23.5561580565272,POINT (31.444022260615 -23.5561580565272)
