Name,Type,Access,lon,lat,geometry
Nthandanyathi Bird Hide,Bird hide,Public,31.959580185316714,-25.207328830642012,POINT (31.95958018531671 -25.20732883064201)
Lake Panic Bird Hide,Bird hide,Public,31.566088551440078,-24.981317586090547,POINT (31.56608855144008 -24.98131758609055)
Sweni Bird Hide,Bird hide,Public,31.973105204149864,-24.473604082092415,POINT (31.97310520414986 -24.47360408209241)
Ratel Pan Bird Hide,Bird hide,Public,31.642755407803367,-24.24206389083316,POINT (31.64275540780337 -24.24206389083316)
Sable Dam Bird Hide,Bird hide,Public,31.239261041099486,-23.93959427009438,POINT (31.23926104109949 -23.93959427009438)
Matambeni Bird Hide,Bird hide,Public,31.618283504393037,-23.842716492235905,POINT (31.61828350439304 -23.8427164922359)
Shipandani Bird Hide,Bird hide,Public,31.432160702943087,-23.546371710865,POINT (31.43216070294309 -23.546371710865)
Pioneer Dam Bird Hide,Bird hide,Public,31.392255718137694,-23.52012326458656,POINT (31.39225571813769 -23.52012326458656)
Biyamiti Bird Hide,Bird hide,Public,31.711378865066337,-25.306764145608817,POINT (31.71137886506634 -25.30676414560882)
Coetzee Dam Bird Hide,Bird hide,Public,31.01736962527566,-22.693227903646207,POINT (31.01736962527566 -22.69322790364621)
Gardenia Bird Hide,Bird hide,Public,31.60762618467928,-25.37369520925458,POINT (31.60762618467928 -25.37369520925458)
Nyawutsi Bird Hide,Bird hide,Public,31.532105936459736,-23.28384673968155,POINT (31.53210593645974 -23.28384673968155)
Kanniedood Bird Hide,Bird hide,Public,31.456858277940686,-23.141234470198853,POINT (31.45685827794069 -23.14123447019885)
Bateleur,Bushveld camp,Public,31.201355976841,-23.233427993998173,POINT (31.201355976841 -23.23342799399817)
Berg-en-Dal,Rest camp,Public,31.444319855824595,-25.428126851153632,POINT (31.4443198558246 -25.42812685115363)
Biyamiti,Bushveld camp,Public,31.710347054127187,-25.308106508820956,POINT (31.71034705412719 -25.30810650882096)
Boulders,Bush Lodge,Private,31.37501088614957,-23.60793350419456,POINT (31.37501088614957 -23.60793350419456)
Crocodile Bridge,Rest camp,Public,31.89330364010209,-25.358233850884123,POINT (31.89330364010209 -25.35823385088412)
Letaba,Rest camp,Public,31.57451374376673,-23.85430033699618,POINT (31.57451374376673 -23.85430033699618)
Lower Sabie,Rest camp,Public,31.91437694895015,-25.119944502413436,POINT (31.91437694895015 -25.11994450241344)
Malelane,Satellite camp,Public,31.51273269058665,-25.470369247759475,POINT (31.51273269058665 -25.47036924775947)
Mopani,Rest camp,Public,31.399132836948997,-23.521639819788223,POINT (31.399132836949 -23.52163981978822)
Olifants,Rest camp,Public,31.7386871449655,-24.00454966132233,POINT (31.7386871449655 -24.00454966132233)
Orpen,Rest camp,Public,31.390477850274245,-24.475655986266077,POINT (31.39047785027424 -24.47565598626608)
Roodewal,Bush Lodge,Private,31.632848860421763,-24.14663019297093,POINT (31.63284886042176 -24.14663019297093)
Skukuza,Rest camp,Public,31.591989637766584,-24.996507331891323,POINT (31.59198963776658 -24.99650733189132)
Talamati,Bushveld camp,Public,31.555199435192723,-24.556249356517526,POINT (31.55519943519272 -24.55624935651753)
Shimuwini,Bushveld camp,Public,31.2663045657415,-23.714663361375354,POINT (31.2663045657415 -23.71466336137535)
Shingwedzi,Rest camp,Public,31.434153793525685,-23.107844185540074,POINT (31.43415379352568 -23.10784418554007)
Sirheni,Bushveld camp,Public,31.22153513972683,-22.946060870439002,POINT (31.22153513972683 -22.946060870439)
Njalaland Trails,Trails camp,Private,31.085604477962228,-22.512904599446937,POINT (31.08560447796223 -22.51290459944694)
Boesman Trails,Trails camp,Private,31.363146867491523,-25.41460355560036,POINT (31.36314686749152 -25.41460355560036)
Metsimetsi Trails,Trails camp,Private,31.913290973663454,-24.748342443019258,POINT (31.91329097366345 -24.74834244301926)
Wolhuter Trails,Trails camp,Private,31.39256452876294,-25.37246469417182,POINT (31.39256452876294 -25.37246469417182)
Napi Trails,Trails camp,Private,31.43823484483229,-25.163581532573687,POINT (31.43823484483229 -25.16358153257369)
Olifants Trails,Trails camp,Private,31.805295084011256,-23.99646694041273,POINT (31.80529508401126 -23.99646694041273)
Sweni Trails,Trails camp,Private,31.925294606247853,-24.490398812674677,POINT (31.92529460624785 -24.49039881267468)
Gorge,Unspecified,Private,31.82313728343006,-23.999608971206715,POINT (31.82313728343006 -23.99960897120672)
Balule,Satellite camp,Public,31.733020373834496,-24.053980346565005,POINT (31.7330203738345 -24.05398034656501)
Maroela,Satellite camp,Public,31.399115384447416,-24.456100015340112,POINT (31.39911538444742 -24.45610001534011)
Tamboti,Satellite camp,Public,31.40661762160608,-24.454645590439537,POINT (31.40661762160608 -24.45464559043954)
Lonely Bull,Backpack camp,Private,31.387331009051643,-23.748825051114412,POINT (31.38733100905164 -23.74882505111441)
Mitini,Unspecified,Private,31.9354381562319,-25.119829154689867,POINT (31.9354381562319 -25.11982915468987)
Pretoriuskop,Rest camp,Public,31.268696006058565,-25.168990139725594,POINT (31.26869600605857 -25.16899013972559)
Punda Maria,Rest camp,Public,31.018924936716804,-22.692239597900695,POINT (31.0189249367168 -22.6922395979007)
Satara,Rest camp,Public,31.780473375065686,-24.39220480951074,POINT (31.78047337506569 -24.39220480951074)
Houtboschrand,Ranger camp,Staff,31.66733360302502,-24.10490033770487,POINT (31.66733360302502 -24.10490033770487)
Kingfisherspruit,Ranger camp,Staff,31.44628399330664,-24.460180466268667,POINT (31.44628399330664 -24.46018046626867)
Mahlangeni,Ranger camp,Staff,31.147435172799575,-23.647772297943654,POINT (31.14743517279958 -23.64777229794365)
Mooiplaas,Ranger camp,Staff,31.403732299941094,-23.51934240053417,POINT (31.40373229994109 -23.51934240053417)
Phalaborwa,Ranger camp,Staff,31.162023544474007,-23.939008690497527,POINT (31.16202354447401 -23.93900869049753)
Stolznek,Ranger camp,Staff,31.392620086829222,-25.321418738896313,POINT (31.39262008682922 -25.32141873889631)
Tshokwane,Ranger camp,Staff,31.85593605052382,-24.78815457913149,POINT (31.85593605052382 -24.78815457913149)
Vlakteplaas,Ranger camp,Staff,31.227333068990703,-22.867990472332323,POINT (31.2273330689907 -22.86799047233232)
Woodlands,Ranger camp,Staff,31.212028503566717,-23.219661690929673,POINT (31.21202850356672 -23.21966169092967)
Shangoni,Ranger camp,Staff,30.942623138597657,-23.167463280939288,POINT (30.94262313859766 -23.16746328093929)
Baobab Hill Bush House,Concession camp,Private,31.211109046086545,-22.42060676369194,POINT (31.21110904608654 -22.42060676369194)
Phabeni K9 Centre,Kennels/ K9 training,Staff,31.250014426917637,-25.019485699338954,POINT (31.25001442691764 -25.01948569933895)
Kongoma Base,SANDF Base,Private,31.969839096172127,-25.389211631297552,POINT (31.96983909617213 -25.38921163129755)
Makhadzi Base,SANDF Base,Private,31.62063598644783,-23.691329933968937,POINT (31.62063598644783 -23.69132993396894)
Masokosa Base,SANDF Base,Private,31.267936706679908,-22.632509210310243,POINT (31.26793670667991 -22.63250921031024)
Sand River Base,SANDF Base,Private,31.618429184093053,-24.956241584623342,POINT (31.61842918409305 -24.95624158462334)
Shishangani Base,SANDF Base,Private,31.90263748179068,-24.415979362735843,POINT (31.90263748179068 -24.41597936273584)
Tsendze,Satellite camp,Public,31.44416785086622,-23.556472581480236,POINT (31.44416785086622 -23.55647258148024)
Pafuri Picnic,Staff Accommodation,Staff,31.248049184773006,-22.423207089489047,POINT (31.24804918477301 -22.42320708948905)
Nwanetsi,Ranger camp,Staff,31.976666666761542,-24.47146664398422,POINT (31.97666666676154 -24.47146664398422)
Mlondozi LOET camp,4X4 Camp,Private,31.9950097818168,-25.141881134868836,POINT (31.9950097818168 -25.14188113486884)
Afsaal Picnic,Staff Accommodation,Staff,31.533277824784193,-25.286745162135155,POINT (31.53327782478419 -25.28674516213515)
Mooiplaas Picnic,Staff Accommodation,Staff,31.441527079302034,-23.555147384870224,POINT (31.44152707930203 -23.55514738487022)
Muzandzeni Picnic,Staff Accommodation,Staff,31.636288292686068,-24.482189913948865,POINT (31.63628829268607 -24.48218991394887)
Nkulu Picnic,Staff Accommodation,Staff,31.769689200381915,-24.997527838440874,POINT (31.76968920038192 -24.99752783844087)
Timbavati Picnic,Staff Accommodation,Staff,31.643928765691545,-24.25985374987991,POINT (31.64392876569154 -24.25985374987991)
Babalala Picnic,Staff Accommodation,Staff,31.25228108501961,-22.904885119867775,POINT (31.25228108501961 -22.90488511986777)
Makhadzi Picnic,Staff Accommodation,Staff,31.621301050653784,-23.691428477348893,POINT (31.62130105065378 -23.69142847734889)
Mlondozi Picnic,Staff Accommodation,Staff,31.936425862759297,-25.03529417468659,POINT (31.9364258627593 -25.03529417468659)
Nwanetsi Picnic,Staff Accommodation,Staff,31.976184536228335,-24.45753109334583,POINT (31.97618453622833 -24.45753109334583)
Nhlanguleni Picnic,Staff Accommodation,Staff,31.655859823307,-24.70956468481163,POINT (31.655859823307 -24.70956468481163)
Sandriver Bushcamp,HR camp,Private,31.685370083507724,-24.950734001637336,POINT (31.68537008350772 -24.95073400163734)
Camp Shonga,Concession camp,Private,31.99017600010049,-25.35397697666025,POINT (31.99017600010049 -25.35397697666025)
