Name,Type,Access,Lon,Lat,Geometry
Nthandanyathi,Bird hide,Public,31.959580185316714,-25.207328830642012,POINT (31.959580185316714 -25.207328830642012)
Lake Panic,Bird hide,Public,31.566088551440078,-24.981317586090547,POINT (31.566088551440078 -24.981317586090547)
Sweni,Bird hide,Public,31.973105204149864,-24.473604082092415,POINT (31.973105204149864 -24.473604082092415)
Ratel Pan,Bird hide,Public,31.642755407803367,-24.24206389083316,POINT (31.642755407803367 -24.24206389083316)
Sable Dam,Bird hide,Public,31.239261041099486,-23.93959427009438,POINT (31.239261041099486 -23.93959427009438)
Matambeni,Bird hide,Public,31.618283504393037,-23.842716492235905,POINT (31.618283504393037 -23.842716492235905)
Shipandani,Bird hide,Public,31.432160702943087,-23.546371710865,POINT (31.432160702943087 -23.546371710865)
Pioneer Dam,Bird hide,Public,31.392255718137694,-23.52012326458656,POINT (31.392255718137694 -23.52012326458656)
Biyamiti,Bird hide,Public,31.711378865066337,-25.306764145608817,POINT (31.711378865066337 -25.306764145608817)
Coetzee Dam,Bird hide,Public,31.01736962527566,-22.693227903646207,POINT (31.01736962527566 -22.693227903646207)
Gardenia,Bird hide,Public,31.60762618467928,-25.37369520925458,POINT (31.60762618467928 -25.37369520925458)
Nyawutsi,Bird hide,Public,31.532105936459736,-23.28384673968155,POINT (31.532105936459736 -23.28384673968155)
Kanniedood,Bird hide,Public,31.456858277940686,-23.141234470198853,POINT (31.456858277940686 -23.141234470198853)
Bateleur,Bushveld camp,Public,31.201355976841,-23.233427993998173,POINT (31.201355976841 -23.233427993998173)
Berg-en-Dal,Rest camp,Public,31.444319855824595,-25.428126851153632,POINT (31.444319855824595 -25.428126851153632)
Biyamiti,Bushveld camp,Public,31.710347054127187,-25.308106508820956,POINT (31.710347054127187 -25.308106508820956)
Boulders,Bush Lodge,Private,31.37501088614957,-23.60793350419456,POINT (31.37501088614957 -23.60793350419456)
Crocodile Bridge,Rest camp,Public,31.89330364010209,-25.358233850884123,POINT (31.89330364010209 -25.358233850884123)
Letaba,Rest camp,Public,31.57451374376673,-23.85430033699618,POINT (31.57451374376673 -23.85430033699618)
Lower Sabie,Rest camp,Public,31.91437694895015,-25.119944502413436,POINT (31.91437694895015 -25.119944502413436)
Malelane,Satellite camp,Public,31.51273269058665,-25.470369247759475,POINT (31.51273269058665 -25.470369247759475)
Mopani,Rest camp,Public,31.399132836948997,-23.521639819788223,POINT (31.399132836948997 -23.521639819788223)
Olifants,Rest camp,Public,31.7386871449655,-24.00454966132233,POINT (31.7386871449655 -24.00454966132233)
Orpen,Rest camp,Public,31.390477850274245,-24.475655986266077,POINT (31.390477850274245 -24.475655986266077)
Roodewal,Bush Lodge,Private,31.632848860421763,-24.14663019297093,POINT (31.632848860421763 -24.14663019297093)
Skukuza,Rest camp,Public,31.591989637766584,-24.996507331891323,POINT (31.591989637766584 -24.996507331891323)
Talamati,Bushveld camp,Public,31.555199435192723,-24.556249356517526,POINT (31.555199435192723 -24.556249356517526)
Shimuwini,Bushveld camp,Public,31.2663045657415,-23.714663361375354,POINT (31.2663045657415 -23.714663361375354)
Shingwedzi,Rest camp,Public,31.434153793525685,-23.107844185540074,POINT (31.434153793525685 -23.107844185540074)
Sirheni,Bushveld camp,Public,31.22153513972683,-22.946060870439002,POINT (31.22153513972683 -22.946060870439002)
Njalaland Trails,Trails camp,Private,31.085604477962228,-22.512904599446937,POINT (31.085604477962228 -22.512904599446937)
Boesman Trails,Trails camp,Private,31.363146867491523,-25.41460355560036,POINT (31.363146867491523 -25.41460355560036)
Metsimetsi Trails,Trails camp,Private,31.913290973663454,-24.748342443019258,POINT (31.913290973663454 -24.748342443019258)
Wolhuter Trails,Trails camp,Private,31.39256452876294,-25.37246469417182,POINT (31.39256452876294 -25.37246469417182)
Napi Trails,Trails camp,Private,31.43823484483229,-25.163581532573687,POINT (31.43823484483229 -25.163581532573687)
Olifants Trails,Trails camp,Private,31.805295084011256,-23.99646694041273,POINT (31.805295084011256 -23.99646694041273)
Sweni Trails,Trails camp,Private,31.925294606247853,-24.490398812674677,POINT (31.925294606247853 -24.490398812674677)
Gorge,Unspecified,Private,31.82313728343006,-23.999608971206715,POINT (31.82313728343006 -23.999608971206715)
Balule,Satellite camp,Public,31.733020373834496,-24.053980346565005,POINT (31.733020373834496 -24.053980346565005)
Maroela,Satellite camp,Public,31.399115384447416,-24.456100015340112,POINT (31.399115384447416 -24.456100015340112)
Tamboti,Satellite camp,Public,31.40661762160608,-24.454645590439537,POINT (31.40661762160608 -24.454645590439537)
Lonely Bull,Backpack camp,Private,31.387331009051643,-23.748825051114412,POINT (31.387331009051643 -23.748825051114412)
Mitini,Unspecified,Private,31.9354381562319,-25.119829154689867,POINT (31.9354381562319 -25.119829154689867)
Pretoriuskop,Rest camp,Public,31.268696006058565,-25.168990139725594,POINT (31.268696006058565 -25.168990139725594)
Punda Maria,Rest camp,Public,31.018924936716804,-22.692239597900695,POINT (31.018924936716804 -22.692239597900695)
Satara,Rest camp,Public,31.780473375065686,-24.39220480951074,POINT (31.780473375065686 -24.39220480951074)
Houtboschrand,Ranger camp,Staff,31.66733360302502,-24.10490033770487,POINT (31.66733360302502 -24.10490033770487)
Kingfisherspruit,Ranger camp,Staff,31.44628399330664,-24.460180466268667,POINT (31.44628399330664 -24.460180466268667)
Mahlangeni,Ranger camp,Staff,31.147435172799575,-23.647772297943654,POINT (31.147435172799575 -23.647772297943654)
Mooiplaas,Ranger camp,Staff,31.403732299941094,-23.51934240053417,POINT (31.403732299941094 -23.51934240053417)
Phalaborwa,Ranger camp,Staff,31.162023544474007,-23.939008690497527,POINT (31.162023544474007 -23.939008690497527)
Stolznek,Ranger camp,Staff,31.392620086829222,-25.321418738896313,POINT (31.392620086829222 -25.321418738896313)
Tshokwane,Ranger camp,Staff,31.85593605052382,-24.78815457913149,POINT (31.85593605052382 -24.78815457913149)
Vlakteplaas,Ranger camp,Staff,31.227333068990703,-22.867990472332323,POINT (31.227333068990703 -22.867990472332323)
Woodlands,Ranger camp,Staff,31.212028503566717,-23.219661690929673,POINT (31.212028503566717 -23.219661690929673)
Shangoni,Ranger camp,Staff,30.942623138597657,-23.167463280939288,POINT (30.942623138597657 -23.167463280939288)
Baobab Hill Bush House,Concession camp,Private,31.211109046086545,-22.42060676369194,POINT (31.211109046086545 -22.42060676369194)
Phabeni K9 Centre,Kennels/ K9 training,Staff,31.250014426917637,-25.019485699338954,POINT (31.250014426917637 -25.019485699338954)
Kongoma Base,SANDF Base,Private,31.969839096172127,-25.389211631297552,POINT (31.969839096172127 -25.389211631297552)
Makhadzi Base,SANDF Base,Private,31.62063598644783,-23.691329933968937,POINT (31.62063598644783 -23.691329933968937)
Masokosa Base,SANDF Base,Private,31.267936706679908,-22.632509210310243,POINT (31.267936706679908 -22.632509210310243)
Sand River Base,SANDF Base,Private,31.618429184093053,-24.956241584623342,POINT (31.618429184093053 -24.956241584623342)
Shishangani Base,SANDF Base,Private,31.90263748179068,-24.415979362735843,POINT (31.90263748179068 -24.415979362735843)
Tsendze,Satellite camp,Public,31.44416785086622,-23.556472581480236,POINT (31.44416785086622 -23.556472581480236)
Pafuri Picnic,Staff Accommodation,Staff,31.248049184773006,-22.423207089489047,POINT (31.248049184773006 -22.423207089489047)
Nwanetsi,Ranger camp,Staff,31.976666666761542,-24.47146664398422,POINT (31.976666666761542 -24.47146664398422)
Mlondozi LOET camp,4X4 Camp,Private,31.9950097818168,-25.141881134868836,POINT (31.9950097818168 -25.141881134868836)
Afsaal Picnic,Staff Accommodation,Staff,31.533277824784193,-25.286745162135155,POINT (31.533277824784193 -25.286745162135155)
Mooiplaas Picnic,Staff Accommodation,Staff,31.441527079302034,-23.555147384870224,POINT (31.441527079302034 -23.555147384870224)
Muzandzeni Picnic,Staff Accommodation,Staff,31.636288292686068,-24.482189913948865,POINT (31.636288292686068 -24.482189913948865)
Nkulu Picnic,Staff Accommodation,Staff,31.769689200381915,-24.997527838440874,POINT (31.769689200381915 -24.997527838440874)
Timbavati Picnic,Staff Accommodation,Staff,31.643928765691545,-24.25985374987991,POINT (31.643928765691545 -24.25985374987991)
Babalala Picnic,Staff Accommodation,Staff,31.25228108501961,-22.904885119867775,POINT (31.25228108501961 -22.904885119867775)
Makhadzi Picnic,Staff Accommodation,Staff,31.621301050653784,-23.691428477348893,POINT (31.621301050653784 -23.691428477348893)
Mlondozi Picnic,Staff Accommodation,Staff,31.936425862759297,-25.03529417468659,POINT (31.936425862759297 -25.03529417468659)
Nwanetsi Picnic,Staff Accommodation,Staff,31.976184536228335,-24.45753109334583,POINT (31.976184536228335 -24.45753109334583)
Nhlanguleni Picnic,Staff Accommodation,Staff,31.655859823307,-24.70956468481163,POINT (31.655859823307 -24.70956468481163)
Sandriver Bushcamp,HR camp,Private,31.685370083507724,-24.950734001637336,POINT (31.685370083507724 -24.950734001637336)
Camp Shonga,Concession camp,Private,31.99017600010049,-25.35397697666025,POINT (31.99017600010049 -25.35397697666025)
Camp Shawu,Concession camp,Private,31.972177391823756,-25.307692051189377,POINT (31.972177391823756 -25.307692051189377)
Singita Lebombo Lodge,Concession camp,Private,31.97769440214757,-24.452305584640136,POINT (31.97769440214757 -24.452305584640136)
Rhino Walking Sleep-out Camp,Concession camp,Private,31.65811398801292,-24.839319333151238,POINT (31.65811398801292 -24.839319333151238)
Rhino Walking Plains Camp,Concession camp,Private,31.656137411888945,-24.87296182545409,POINT (31.656137411888945 -24.87296182545409)
Rhino Post Lodge,Concession camp,Private,31.65932497461822,-24.923808945820475,POINT (31.65932497461822 -24.923808945820475)
Lukimbi Lodge,Concession camp,Private,31.682989961009113,-25.365359931213902,POINT (31.682989961009113 -25.365359931213902)
Lukimbi Flycamp 2,Concession camp,Private,31.63579000103769,-25.3551499664963,POINT (31.63579000103769 -25.3551499664963)
Lukimbi Flycamp 1,Concession camp,Private,31.66487000092802,-25.351889975398198,POINT (31.66487000092802 -25.351889975398198)
Shishangeni Lodge,Concession camp,Private,31.9749721907478,-25.3889999670383,POINT (31.9749721907478 -25.3889999670383)
Jock Flycamp,Concession camp,Private,31.523606393347762,-25.17104316541424,POINT (31.523606393347762 -25.17104316541424)
Main Jock Lodge,Concession camp,Private,31.56410562135095,-25.216420400108028,POINT (31.56410562135095 -25.216420400108028)
Tinga Narina,Concession camp,Private,31.562683314219523,-24.962366661772617,POINT (31.562683314219523 -24.962366661772617)
Tinga Legends,Concession camp,Private,31.583116700134642,-24.971716676947302,POINT (31.583116700134642 -24.971716676947302)
Hoyo Hoyo Tsonga Lodge,Concession camp,Private,31.597469763593242,-24.600009867100834,POINT (31.597469763593242 -24.600009867100834)
Imbali Staff Village,Concession camp,Private,31.62765999980084,-24.595649976597723,POINT (31.62765999980084 -24.595649976597723)
Imbali Safari Lodge,Concession camp,Private,31.62986999986812,-24.60097997736502,POINT (31.62986999986812 -24.60097997736502)
Hamiltons Tented Camp,Concession camp,Private,31.672889999849012,-24.624159977567025,POINT (31.672889999849012 -24.624159977567025)
Hamiltons Staff Village,Concession camp,Private,31.672320000230734,-24.62596997754549,POINT (31.672320000230734 -24.62596997754549)
Pafuri Camp,Concession camp,Private,31.22954237890589,-22.42001804563658,POINT (31.22954237890589 -22.42001804563658)
The Outpost Lodge,Concession camp,Private,31.08424978322876,-22.440222268853155,POINT (31.08424978322876 -22.440222268853155)
Nkambeni Safari Camp,Concession camp,Private,31.19399327387164,-25.13494696864503,POINT (31.19399327387164 -25.13494696864503)
Fitzpatricks Lodge at Jock,Concession camp,Private,31.566953334065836,-25.223945546574495,POINT (31.566953334065836 -25.223945546574495)
Ngala Safari Lodge,Concession camp,Private,31.32113414614493,-24.381386743461466,POINT (31.32113414614493 -24.381386743461466)
South African Wildlife College,Concession camp,Private,31.334817762765482,-24.540876886131386,POINT (31.334817762765482 -24.540876886131386)
Singita Sweni Lodge,Concession camp,Private,31.980531651769585,-24.454066552082576,POINT (31.980531651769585 -24.454066552082576)
Mathikithi Trails,Trails camp,Private,31.728986778903487,-24.436280099951336,POINT (31.728986778903487 -24.436280099951336)
Frazersrus,HR camp,Private,31.30806770168271,-23.481001561109714,POINT (31.30806770168271 -23.481001561109714)
Phabeni EE centre,EE Centre,Private,31.235230869127733,-25.034204597622438,POINT (31.235230869127733 -25.034204597622438)
EcoTraining Makuleke Camp,Concession camp,Private,31.17155150685546,-22.357727973552702,POINT (31.17155150685546 -22.357727973552702)
Mondzo,Unspecified,Private,31.733585896242005,-24.313051070437254,POINT (31.733585896242005 -24.313051070437254)
Pafuri Border Camp,Bush Lodge,Private,31.310660645080336,-22.449682509956997,POINT (31.310660645080336 -22.449682509956997)
Mdluli lodge,Concession camp,Private,31.230012921211404,-25.18669766248043,POINT (31.230012921211404 -25.18669766248043)
Crocodile Bridge,KNP Gate,Public,31.89258657143726,-25.358480632913864,POINT (31.89258657143726 -25.358480632913864)
Malelane,KNP Gate,Public,31.5322480748238,-25.462242036021298,POINT (31.5322480748238 -25.462242036021298)
Numbi,KNP Gate,Public,31.19779114628988,-25.155235225028587,POINT (31.19779114628988 -25.155235225028587)
Pafuri,KNP Gate,Public,31.04128207709203,-22.399849267439016,POINT (31.04128207709203 -22.399849267439016)
Phalaborwa,KNP Gate,Public,31.166061973814458,-23.94570262899793,POINT (31.166061973814458 -23.94570262899793)
Punda Maria,KNP Gate,Public,31.01048065058071,-22.737288654024038,POINT (31.01048065058071 -22.737288654024038)
Paul Kruger,KNP Gate,Public,31.484825272079146,-24.981054292519527,POINT (31.484825272079146 -24.981054292519527)
Orpen,KNP Gate,Public,31.390454263127054,-24.481379204477278,POINT (31.390454263127054 -24.481379204477278)
Pafuri Port of Entry,Port of Entry,Public,31.315532880688636,-22.449221181672495,POINT (31.315532880688636 -22.449221181672495)
Phabeni,KNP Gate,Public,31.24188273415545,-25.02502054780226,POINT (31.24188273415545 -25.02502054780226)
Giriyondo Port of Entry,Port of Entry,Public,31.659574820129603,-23.58432299609762,POINT (31.659574820129603 -23.58432299609762)
Orpen Boom Gate,KNP Gate,Public,31.372259218347416,-24.54197578776526,POINT (31.372259218347416 -24.54197578776526)
Toulon,Private Gate,Private,31.59396974486089,-24.96715575704369,POINT (31.59396974486089 -24.96715575704369)
Afsaal,Picnic spot,Public,31.53269626733633,-25.286789254237572,POINT (31.53269626733633 -25.286789254237572)
Mooiplaas,Picnic spot,Public,31.440983610993285,-23.55588202201327,POINT (31.440983610993285 -23.55588202201327)
Muzandzeni,Picnic spot,Public,31.63474241890218,-24.481674645113298,POINT (31.63474241890218 -24.481674645113298)
Nkuhlu,Picnic spot,Public,31.76912183793491,-24.996922590710945,POINT (31.76912183793491 -24.996922590710945)
Pafuri,Picnic spot,Public,31.24738867021921,-22.42275782892085,POINT (31.24738867021921 -22.42275782892085)
Timbavati,Picnic spot,Public,31.64534762231894,-24.26056900622681,POINT (31.64534762231894 -24.26056900622681)
Tshokwane,Picnic spot,Public,31.85916694013708,-24.78573412730833,POINT (31.85916694013708 -24.78573412730833)
Babalala,Picnic spot,Public,31.25167622150451,-22.904966168896124,POINT (31.25167622150451 -22.904966168896124)
Nhlanguleni,Picnic spot,Public,31.656527903038292,-24.710113479224106,POINT (31.656527903038292 -24.710113479224106)
Nwanetsi,Picnic spot,Public,31.976122628414036,-24.457998476419313,POINT (31.976122628414036 -24.457998476419313)
Albasini Ruins,Get out point,Public,31.240115065574038,-25.021236815542583,POINT (31.240115065574038 -25.021236815542583)
Hippo Pool,Look out point,Public,31.86890052488502,-25.36701048780074,POINT (31.86890052488502 -25.36701048780074)
Kruger Tablets,Get out point,Public,31.774686314469573,-24.871976162169908,POINT (31.774686314469573 -24.871976162169908)
Masorini,Picnic spot,Public,31.267113395997047,-23.92162285576397,POINT (31.267113395997047 -23.92162285576397)
Mlondozi Dam,Picnic spot,Public,31.934926933661632,-25.035623583559637,POINT (31.934926933661632 -25.035623583559637)
Nkumbe,Get out point,Public,31.894948829819654,-24.857749965387143,POINT (31.894948829819654 -24.857749965387143)
N'wamanzi,Get out point,Public,31.667503236244187,-24.017052735248424,POINT (31.667503236244187 -24.017052735248424)
Orpen Dam,Get out point,Public,31.89770069355486,-24.792116124845972,POINT (31.89770069355486 -24.792116124845972)
Rabelais' Hut,Get out point,Public,31.468457594876547,-24.468426691431464,POINT (31.468457594876547 -24.468426691431464)
Stevenson Hamilton,Get out point,Public,31.597658076396606,-25.103987245803008,POINT (31.597658076396606 -25.103987245803008)
Tshanga,Get out point,Public,31.233390896715402,-23.226886937063533,POINT (31.233390896715402 -23.226886937063533)
Longwe,Get out point,Public,31.641982012505625,-23.82577252410974,POINT (31.641982012505625 -23.82577252410974)
Mathekenyane - Granokop,Get out point,Public,31.552431134383955,-25.067125861077756,POINT (31.552431134383955 -25.067125861077756)
Renosterpan,Look out point,Public,31.50812167971648,-25.323720913277228,POINT (31.50812167971648 -25.323720913277228)
Nyamundwa,Look out point,Public,31.333663030468433,-25.024526046528393,POINT (31.333663030468433 -25.024526046528393)
Olifant Drinkgat,Look out point,Public,31.747981925915976,-24.897443592326013,POINT (31.747981925915976 -24.897443592326013)
Baobab Tree,Look out point,Public,31.787697594844534,-24.618589484094862,POINT (31.787697594844534 -24.618589484094862)
Mondzweni,Look out point,Public,31.638425811970247,-24.558964353848054,POINT (31.638425811970247 -24.558964353848054)
Bobbejaankrans,Look out point,Public,31.523347147894572,-24.405110688564896,POINT (31.523347147894572 -24.405110688564896)
Mingerhout,Look out point,Public,31.499144255827247,-23.760852614564843,POINT (31.499144255827247 -23.760852614564843)
Red Rocks,Get out point,Public,31.293729890182828,-23.181067841353787,POINT (31.293729890182828 -23.181067841353787)
Shipirivirhi,Dam,Public,31.375437646957312,-23.110770067627598,POINT (31.375437646957312 -23.110770067627598)
Dzundwini,Look out point,Public,31.15709970959575,-22.76981331790337,POINT (31.15709970959575 -22.76981331790337)
Thulamela,Look out point,Public,31.194861865698197,-22.432472535502136,POINT (31.194861865698197 -22.432472535502136)
Witsand,Dam,Public,30.99422537978498,-22.666602103173453,POINT (30.99422537978498 -22.666602103173453)
