hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
08:00 - 08:59,,1033,904,129,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,838,737,101,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,09:00,09:59
11:00 - 11:59,,484,392,92,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,306,245,61,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,12:00,12:59
14:00 - 14:59,,243,176,67,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,226,117,109,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,15:00,15:59
05:00 - 05:59,,283,277,6,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1949,1851,98,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,1310,1192,118,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,07:00,07:59
10:00 - 10:59,,680,565,115,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,10:00,10:59
13:00 - 13:59,,276,158,118,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,13:00,13:59
16:00 - 16:59,,89,30,59,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,48,22,26,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,4,0,4,2018-08-12,2018-08-18,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,10,6,4,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,23,10,13,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,47,38,9,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,30,22,8,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,37,24,13,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,49,39,10,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,3,3,0,2018-08-12,2018-08-18,GIRIYONDO BORDER GATE,14:00,14:59
05:00 - 05:59,,91,91,0,2018-08-12,2018-08-18,KRUGER GATE,05:00,05:59
06:00 - 06:59,,740,711,29,2018-08-12,2018-08-18,KRUGER GATE,06:00,06:59
07:00 - 07:59,,413,368,45,2018-08-12,2018-08-18,KRUGER GATE,07:00,07:59
08:00 - 08:59,,623,599,24,2018-08-12,2018-08-18,KRUGER GATE,08:00,08:59
09:00 - 09:59,,520,491,29,2018-08-12,2018-08-18,KRUGER GATE,09:00,09:59
10:00 - 10:59,,506,425,81,2018-08-12,2018-08-18,KRUGER GATE,10:00,10:59
11:00 - 11:59,,565,517,48,2018-08-12,2018-08-18,KRUGER GATE,11:00,11:59
12:00 - 12:59,,347,265,82,2018-08-12,2018-08-18,KRUGER GATE,12:00,12:59
13:00 - 13:59,,286,227,59,2018-08-12,2018-08-18,KRUGER GATE,13:00,13:59
14:00 - 14:59,,295,228,67,2018-08-12,2018-08-18,KRUGER GATE,14:00,14:59
15:00 - 15:59,,343,297,46,2018-08-12,2018-08-18,KRUGER GATE,15:00,15:59
16:00 - 16:59,,142,109,33,2018-08-12,2018-08-18,KRUGER GATE,16:00,16:59
17:00 - 17:59,,235,154,81,2018-08-12,2018-08-18,KRUGER GATE,17:00,17:59
05:00 - 05:59,,275,92,183,2018-08-12,2018-08-18,MALELANE GATE,05:00,05:59
06:00 - 06:59,,659,424,235,2018-08-12,2018-08-18,MALELANE GATE,06:00,06:59
07:00 - 07:59,,411,262,149,2018-08-12,2018-08-18,MALELANE GATE,07:00,07:59
08:00 - 08:59,,461,328,133,2018-08-12,2018-08-18,MALELANE GATE,08:00,08:59
09:00 - 09:59,,710,504,206,2018-08-12,2018-08-18,MALELANE GATE,09:00,09:59
10:00 - 10:59,,660,484,176,2018-08-12,2018-08-18,MALELANE GATE,10:00,10:59
11:00 - 11:59,,403,200,203,2018-08-12,2018-08-18,MALELANE GATE,11:00,11:59
12:00 - 12:59,,346,139,207,2018-08-12,2018-08-18,MALELANE GATE,12:00,12:59
13:00 - 13:59,,513,233,280,2018-08-12,2018-08-18,MALELANE GATE,13:00,13:59
14:00 - 14:59,,483,311,172,2018-08-12,2018-08-18,MALELANE GATE,14:00,14:59
15:00 - 15:59,,414,204,210,2018-08-12,2018-08-18,MALELANE GATE,15:00,15:59
16:00 - 16:59,,297,150,147,2018-08-12,2018-08-18,MALELANE GATE,16:00,16:59
17:00 - 17:59,,84,29,55,2018-08-12,2018-08-18,MALELANE GATE,17:00,17:59
05:00 - 05:59,,1020,1015,5,2018-08-12,2018-08-18,NUMBI GATE,05:00,05:59
06:00 - 06:59,,983,950,33,2018-08-12,2018-08-18,NUMBI GATE,06:00,06:59
07:00 - 07:59,,343,305,38,2018-08-12,2018-08-18,NUMBI GATE,07:00,07:59
08:00 - 08:59,,284,240,44,2018-08-12,2018-08-18,NUMBI GATE,08:00,08:59
09:00 - 09:59,,220,177,43,2018-08-12,2018-08-18,NUMBI GATE,09:00,09:59
10:00 - 10:59,,230,164,66,2018-08-12,2018-08-18,NUMBI GATE,10:00,10:59
11:00 - 11:59,,207,118,89,2018-08-12,2018-08-18,NUMBI GATE,11:00,11:59
12:00 - 12:59,,109,46,63,2018-08-12,2018-08-18,NUMBI GATE,12:00,12:59
13:00 - 13:59,,246,126,120,2018-08-12,2018-08-18,NUMBI GATE,13:00,13:59
